sku	asin	price	quantity
BAMBOOHOODEDTOWELSEPT2018111	B079LW2KMZ	80.13	20
BAMBOOHOODEDTOWELSEPT2018123	B073XKTFR5	40.91	20
BAMBOOHOODEDTOWELSEPT2018239	B06XRTHSG5	51.21	20
BAMBOOHOODEDTOWELSEPT2018266	B06Y2LBJ7V	59.45	20
BAMBOOHOODEDTOWELSEPT2018271	B078JMBTPD	65.00	15
BAMBOOHOODEDTOWELSEPT2018273	B07C2Y6J9W	58.10	20
BAMBOOHOODEDTOWELSEPT2018275	B06Y2L7KXM	60.43	20
BAMBOOHOODEDTOWELSEPT2018287	B078YMSTF9	40.99	20
BAMBOOHOODEDTOWELSEPT2018289	B017Y5P0L2	57.08	20
BAMBOOHOODEDTOWELSEPT2018297	B01MSXTJ6Y	43.46	20
COLLAPSIBLEWATERBOTTLESSEPT2018103	B073R12BC4	99.53	20
COLLAPSIBLEWATERBOTTLESSEPT2018118	B078SBBGYV	98.33	20
COLLAPSIBLEWATERBOTTLESSEPT2018121	B01M6VE7XP	412.76	20
COLLAPSIBLEWATERBOTTLESSEPT2018132	B01MT0WMUW	328.46	20
FERMENTATIONWEIGHTSSEPT2018100	B07C97ZJ7F	45.91	20
FERMENTATIONWEIGHTSSEPT2018102	B07CXJ92CG	54.50	20
FERMENTATIONWEIGHTSSEPT2018103	B06XQCV1LM	161.32	20
FERMENTATIONWEIGHTSSEPT2018104	B0169MT9FE	63.29	20
FERMENTATIONWEIGHTSSEPT2018105	B07DPDF6NY	38.16	20
FERMENTATIONWEIGHTSSEPT2018106	B074MGHZGZ	67.41	20
FITNESSTRACKER160618194	B078YC4JNH	92.70	20
GROWLIGHTSFORINDOORPLANTSSEPT2018100	B00EPZT8AE	300.48	20
GROWLIGHTSFORINDOORPLANTSSEPT2018101	B076DWMZZ7	290.50	20
GROWLIGHTSFORINDOORPLANTSSEPT2018102	B07H232SJ8	340.31	20
GROWLIGHTSFORINDOORPLANTSSEPT2018103	B07GBLF7Q6	380.11	20
GROWLIGHTSFORINDOORPLANTSSEPT2018104	B072M239VT	214.83	20
GROWLIGHTSFORINDOORPLANTSSEPT2018105	B075L6DQ6Z	415.37	20
KITCHENGENERAL170618113	B07B4WZZVT	600.68	20
NOURISHEDESSENTIALSSEPT2018100	B06XQCV1LM	161.32	20
NOURISHEDESSENTIALSSEPT2018101	B0169MT9FE	63.29	20
NOURISHEDESSENTIALSSEPT2018102	B06XY6XCQP	90.83	20
NOURISHEDESSENTIALSSEPT2018103	B075LRMRDQ	69.67	18
NOURISHEDESSENTIALSSEPT2018104	B07CYM653J	36.01	20
NOURISHEDESSENTIALSSEPT2018105	B074MGHZGZ	67.41	20
PETSUPPLYDOG16082018126	B017NGPX9Q	185.87	20
PETSUPPLYDOG16082018139	B01E9MRIJ0	32.74	20
PETSUPPLYDOG16082018148	B07D3LNXCN	44.63	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018100	B07D3PBHBP	204.53	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018101	B076DWMZZ7	290.50	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018102	B00EPZT8AE	300.48	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018103	B07H232SJ8	340.31	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018104	B07GBLF7Q6	380.11	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018105	B071XNX3J2	288.00	20
PLANTLIGHTSFORINDOORPLANTSSEPT2018106	B0183Z7Z56	246.21	20
PORTABLECHARGERSEPT2018108	B075FXKPNY	105.56	20
PORTABLECHARGERSEPT2018113	B01NBH7A2K	111.84	20
PORTABLECHARGERSEPT2018122	B07GD9D8PW	119.25	20
PORTABLECHARGERSEPT2018150	B01EQW0IP4	106.41	20
PORTABLECHARGERSEPT2018169	B07FK9ZPG9	90.94	20
